Melton and Syston|Liberal Democrats |Andy Konieczko|None|2,547|5.5|-2.2
Mid Leicestershire|Liberal Democrats |Ian Bradwell|None|||
Rutland and Stamford |Liberal Democrats |James Moore|None|6,252|12.9|-2.9
South Holland and the Deepings|Liberal Democrats |Jack Braginton|None|1,945|4.2|
Louth and Horncastle|Liberal Democrats |Ross Pepper|None|2,364|5.1|-2.7
Sleaford and North Hykeham |Liberal Democrats |Matthew Winnington|None|4,346|8.9|
Lincoln|Liberal Democrats |Clare Smalley|None|2580|6.1|+1.3
Lincoln|Liberal Party |Charles Shaw|None|278|0.7|+0.1
Grantham and Bourne|Liberal Democrats |John Vincent|None|2,027|4.4|-4.6
Kettering |Liberal Democrats |Sarah Ryan|None|1357|2.7|-4.0
Northampton North|Liberal Democrats |Chris Leggett|None|2,251|5.4|-0.3
Northampton South|Liberal Democrats |Jill Hope|None|3,193|7.3|-0.6
South Northamptonshire|Liberal Democrats |Stewart Tolley|None|4,989|9.3|-1.8
Daventry|Liberal Democrats |Jonathan Harris|None|6,755|12.7|+0.4
Corby and East Northamptonshire |Liberal Democrats |Chris Lofts|None|2,191|4.4|-2.4
Wellingborough and Rushden |Liberal Democrats |Christopher Townsend|None|5,486|13|
Nottingham East|Liberal Democrats |Anita Prabhaker|None|||
Newark|Liberal Democrats |David Watts|None|||
Bassetlaw|Liberal Democrats |Helen Tamblyn-Saville|None|1,996|4.5|
Broxtowe |Liberal Democrats |James Collis |None|||
Gedling|Liberal Democrats |Tad Jones|None|||
Mansfield|Liberal Democrats |Michael Wyatt|None|||
Nottingham South|Liberal Democrats |Christina Morgan-Danvers|None|||
Ashfield|Liberal Democrats |Daniel Holmes|None|5,509|13|
Rushcliffe |Liberal Democrats |Greg Webb|None|3,133|5.4|-10.6
Nottingham North and Kimberley|Liberal Democrats |David Schmitz |None|||
Sherwood Forest|Liberal Democrats |David Dobbie|None|||
Redcar|Liberal Democrats |Chris Jones|None|1,542|4.0|-0.8
Middlesbrough and Thornaby East|Liberal Democrats |Mo Waqas|None|1,037|3.0|+0.4
Stockton West|Liberal Democrats |Nigel Frederick Boddy|None|1,203|2.5|-1.9
Stockton North|Liberal Democrats |Jo Barton|None|1,133|3.0|-1.0
Hartlepool|Liberal Democrats |Peter Maughan|None|572|1.6|-2.5
Blaydon and Consett|Liberal Democrats |Vicky Anderson|None|2,273|5.4|+0.8
City of Durham |Liberal Democrats |Mark Wilkes|None|5,920|14.6|-2.3
Darlington|Liberal Democrats |Simon Thorley|None|2,298|5.4|
Easington|Liberal Democrats |Tony Ferguson|None|6,542|19.1|+14.6
Newton Aycliffe and Spennymoor|Liberal Democrats |Anne-Marie Curry|None|||
Cramlington and Killingworth|Liberal Democrats |Thom Campion|None|1,898|4.2|-1.0
North Northumberland|Liberal Democrats |Natalie Younes|None|5,169|10.6|-5.5
Sunderland Central|Liberal Democrats |Niall Hodson|None|3,602|9.0|+2.0
Houghton and Sunderland South|Liberal Democrats |Paul Edgeworth|None|2,290|5.7|
Gateshead Central and Whickham|Liberal Democrats |Ron Beadle|None|4,987|12.4|+0.2
Jarrow and Gateshead East|Liberal Democrats |James Rickelton|None|||
Washington and Gateshead South|Liberal Democrats |Ciaran Morrissey|None|1,602|4.3|-0.6
Newcastle upon Tyne Central and West |Liberal Democrats |Ali Avaei|None|1,946|4.7|+1.7
Newcastle upon Tyne East and Wallsend |Liberal Democrats |Mark Ridyard|None|2,965|7.0|
Newcastle upon Tyne North |Liberal Democrats |Aidan King|None|5,936|12.2|
South Shields|Liberal Democrats |Jonathan Aibi|None|6,653|18.1|
Tynemouth|Liberal Democrats |John Appleby|None|||
Bangor Aberconwy|Welsh Liberal Democrats|Rachael Roberts|None|1,524|3.7|-0.7
Clwyd East|Welsh Liberal Democrats|Alec Dauncey|None|1,859|3.9|
Clwyd North|Welsh Liberal Democrats|David Wilkins|None|||
Alyn and Deeside|Welsh Liberal Democrats|Richard Marbrow|None|2,065|4.8|
Dwyfor Meirionnydd|Welsh Liberal Democrats|Phoebe Jenkins|None|1,381|3.4|
Wrexham|Welsh Liberal Democrats|Timothy John Sly|None|1,777|4.4|+0.1
Gower|Liberal Democrats |Franck Banza|None|2,593|5.5|-0.4
Aberafan Maesteg|Welsh Liberal Democrats|Justin Griffiths|None|916|2.6|-1.1
Blaenau Gwent and Rhymney|Welsh Liberal Democrats|Jackie Charlton|None|1,268|4.2|
Merthyr Tydfil and Aberdare|Welsh Liberal Democrats|Jade Smith|None|||
Mid and South Pembrokeshire|Welsh Liberal Democrats|Alistair Cameron|None|2,372|5.1|+0.5
Cardiff East|Liberal Democrats |Rodney Berman|None|6,736|17.2|+4.9
Monmouthshire|Welsh Liberal Democrats|William Powell |None|2,279|4.5|-5.1
Bridgend|Welsh Liberal Democrats|Claire Waller|None|8,595|20.8|
Caerphilly|Welsh Liberal Democrats|Steve Aicheler|None|1,788|4.7|
Cardiff North|Welsh Liberal Democrats|Irfan Latif|None|3,168|6.7|
Cardiff South and Penarth|Welsh Liberal Democrats|Alex Wilson|None|||
 Cardiff West|Welsh Liberal Democrats|Manda Rigby|None|1,921|4.3|-1.0
Llanelli|Welsh Liberal Democrats|Chris Passmore|None|1,254|3.1|+3.1
Newport East|Welsh Liberal Democrats|John Miller|None|2,045|5.3|-0.4
Swansea West|Welsh Liberal Democrats|Michael O'Carroll|None|4,367|12.2|+5.8
Torfaen|Welsh Liberal Democrats|Brendan Roberts|None|1,644|4.6|-0.4
Vale of Glamorgan|Welsh Liberal Democrats|Steven Rajam|None|1,612|3.5|+3.5
North East Hertfordshire|Liberal Democrats |Ruth Brown|None|5,463|10.4|-5.1
South West Hertfordshire|Liberal Democrats |Sally Symington|None|12,002|24.9|+12.2
St Albans|Liberal Democrats |Daisy Cooper|winning|29,222|56.6|+6.7
Hertford and Stortford|Liberal Democrats |Helen Campbell|None|4,167|7.7|-6.5
Hertsmere|Liberal Democrats |Emma Matanle|None|3,710|7.7|-3.2
Broxbourne|Liberal Democrats |Nick Belfitt|None|2,688|6.3|-2.7
Watford|Liberal Democrats |Ian Stotesbury|None|7,577|17.0|
Hemel Hempstead|Liberal Democrats |Sammy Barry-Mears|None|5,096|11.6|+0.2
Stevenage|Liberal Democrats |Lisa Nash|None|3,467|8.1|-0.6
Harpenden and Berkhamsted|Liberal Democrats |Victoria Collins|winning|27,282|50.2|+24.9
Welwyn Hatfield|Liberal Democrats |John Munro|None|3,117|6.4|-6.3
Hitchin|Liberal Democrats |Chris Lucas|None|||
Luton North|Liberal Democrats |Linda Jack|None|2,063|4.8|+3.1
Bedford|Liberal Democrats |Henry Vann|None|4,025|9.9|-0.1
Luton South and South Bedfordshire|Liberal Democrats |Dominic Griffiths |None|2,400|6.3|
North East Cambridgeshire|Liberal Democrats |David Chalmers|None|2,716|6.9|+0.2
North West Cambridgeshire|Liberal Democrats |Bridget Smith|None|3,192|7.19|-3.43
Huntingdon|Liberal Democrats |Mark Argent|None|4,821|9.3|
Peterborough|Liberal Democrats |Nick Sandford|None|1,746|4.2|-0.7
Cambridge|Liberal Democrats |Cheney Payne|None|8,536|20.3|-10.3
Ely and East Cambridgeshire|Liberal Democrats |Charlotte Cane|winning|17,127|32.7|+3.4
St Neots and Mid Cambridgeshire|Liberal Democrats |Ian Sollom|winning|19,517|36.9|+10.1
Brentwood and Ongar|Liberal Democrats |David Kendall|None|5,809|12|-1.6
Southend East and Rochford|Liberal Democrats |James Allen|None|||
Braintree|Liberal Democrats |Kieron Franks|None|2,879|5.9|
Epping Forest|Liberal Democrats |Jon Whitehouse|None|5,268|12.6|+1.9
Harlow|Liberal Democrats |Riad Mannan|None|1,350|3.1|-2.8
Southend West and Leigh|Liberal Democrats |Stephen Cummins|None|3,174|6.8|
